Samples,GrahamScan,DC
10000,0.190752983,0.152659893
20000,0.141685009,0.203191996
30000,0.187191963,0.273666859
40000,0.256970167,0.350764036
50000,0.318130016,0.436609983
60000,0.386530876,0.518405914
70000,0.471683025,0.618227959
80000,0.540220976,0.699250937
90000,0.62143302,0.819488049
100000,0.679861069,0.886831045
110000,0.762040138,0.948837042
120000,0.931112051,1.08041811
130000,0.907099962,1.147484064
140000,0.993315935,1.235488176
150000,1.089352131,1.376219034
160000,1.195868015,1.439247847
170000,1.284202099,1.59799099
180000,1.331589937,1.629318953
190000,1.46312499,1.825089931
200000,1.520191193,1.868636847
210000,1.594314098,2.027028084
220000,1.733103037,2.077367067
230000,1.757828951,2.179119825
240000,1.897152185,2.262435913
250000,1.929149866,2.445873022
260000,2.063512087,2.492243052
270000,2.089440823,2.61014986
280000,2.288565874,2.700225115
290000,2.292150021,2.803397894
300000,2.401654959,2.912461042
310000,2.443377972,3.02362299
320000,2.565079927,3.171452045
330000,2.607460022,3.240695953
340000,2.72195816,3.401669025
350000,2.857522011,3.445446968
360000,2.911423922,3.57668519
370000,3.038449049,3.734507084
380000,3.060827971,3.850747108
390000,3.236243963,3.949976921
400000,3.273646116,4.103214979
410000,3.433215857,4.144412041
420000,3.452257872,4.231819868
430000,3.610116005,4.354817152
440000,3.687499046,4.54653883
450000,3.65042305,4.707980871
460000,3.85513711,4.755865097
470000,3.799602985,4.894248009
480000,3.919634819,4.962417841
490000,4.146718979,5.085596085
500000,4.197274208,5.262025118
510000,4.380031824,5.378511906
520000,4.492243052,5.444915056
530000,4.422996044,5.644463062
540000,4.571592808,5.66590786
550000,4.782822132,5.948134899
560000,4.755268812,6.010168076
570000,4.780719996,6.12420702
580000,4.927011967,6.21014595
590000,5.183404922,6.40820694
600000,5.202468157,6.44315815
610000,5.219918013,6.740787029
620000,6.05271697,7.825912952
630000,6.406497955,7.46091795
640000,5.68772006,7.094418049
650000,5.671779871,7.1829741
660000,5.867848873,7.224083185
670000,5.893460989,7.378299952
680000,6.068159103,7.509449005
690000,6.130085945,7.774185181
700000,6.428069115,7.76095295
710000,6.431963921,7.984623909
720000,6.354231119,8.053470135
730000,6.618798971,8.211273193
740000,6.399627924,8.054634094
750000,6.509722233,8.192361832
760000,6.571233034,8.118792057
780000,7.004004002,8.80328393
790000,6.948439121,8.662606001
800000,7.157381058,9.137050152
810000,7.109032154,8.851342916
820000,7.39212203,9.202642918
830000,7.634440184,8.99610281
840000,7.677860022,9.233358145
850000,7.584258795,9.793220997
860000,7.843827963,9.959715128
870000,7.853393078,9.981804132
880000,8.069183826,9.982632875
890000,8.117626905,10.36557603
900000,8.08651185,10.29284692
910000,8.294175148,10.66092992
920000,8.482077122,10.6270411
930000,8.71550107,10.71457386
940000,8.625314951,10.88484693
950000,8.525725842,10.98246312
960000,8.830569029,11.12634707
970000,9.908032179,13.15705585
980000,9.772089005,11.38185787
990000,8.959794998,11.58364487
1000000,9.272017956,11.86322212
1010000,9.15022397,11.75941491
1020000,9.425668955,12.026999
1030000,9.348628998,12.26418281
1040000,9.678024769,12.22674298
1050000,9.22554183,12.17113495
1060000,9.469835997,12.25367308
1070000,10.23593998,12.62903786
1080000,10.25923991,12.81210804
1090000,10.14776087,12.91816401
1100000,10.53322911,13.16093206
1110000,10.41275406,13.152565
1120000,10.33586693,13.24302793
1130000,10.72814608,13.47330689
1140000,10.64912105,13.66533303
1150000,11.06834292,13.85292196
1160000,11.14137793,13.83017898
1170000,10.87164092,14.16121912
1180000,11.42502713,14.28727794
1190000,11.36052299,14.39712214
1200000,11.03561306,14.41013408
1210000,11.47391295,16.96008801
1220000,12.56633592,14.92369199
1230000,11.60228014,14.62871003
1240000,11.45596886,14.84805202
1250000,11.92897606,15.03760195
1260000,11.78135705,15.22413683
1270000,12.16497111,15.7394309
1280000,11.92772293,15.11790299
1300000,12.54158902,15.79540896
1310000,12.29684615,15.80659699
1320000,12.8249259,19.36872005
1330000,13.50555205,16.14475203
1340000,12.54506612,16.19605803
1350000,12.97824192,16.65447521
1360000,12.94319606,16.96033502
1370000,12.61861396,16.5021739
1380000,13.29450703,16.78219485
1390000,12.86754107,17.11936808
1400000,13.47141314,17.25711012
1410000,13.24723697,17.15008616
1420000,13.83042502,17.53632402
1430000,13.68405604,17.32014084
1440000,13.52109408,17.70986295
1450000,13.93555188,18.05980492
1460000,16.79380512,18.68222904
1470000,14.0623281,17.92796707
1480000,14.05929494,17.886765
1490000,14.69518709,21.11806202
1500000,14.98519206,18.23512006
1510000,14.36440802,18.34186912
1520000,14.03879619,18.54066396
1530000,14.50037408,18.61496687
1540000,14.20945501,18.69248796
1550000,14.76508904,18.95945287
1560000,14.60043311,19.04312706
1570000,14.97242999,19.30493617
1580000,14.84696484,19.44666409
1590000,15.22070885,19.4202199
1600000,15.13361907,19.74022102
1610000,15.79702377,19.81765795
1620000,15.92533708,21.21654797
1630000,17.23663521,21.83054781
1640000,16.16155601,21.01292014
1650000,15.83211112,20.75960994
1660000,16.30404305,20.94298196
1670000,15.86043119,20.93065
1680000,16.64532304,21.29225898
1690000,16.2611959,22.10903096
1700000,18.94530201,22.12583303
1710000,16.97421598,21.66549802
1720000,16.691118,24.26715088
1730000,18.76762486,22.02875996
1740000,17.25805402,22.41846895
1750000,17.08666587,22.28205991
1760000,17.72622895,22.57596993
1770000,17.660604,22.71026897
1780000,17.370121,23.00112414
1790000,18.05115604,22.9963491
1800000,17.88843703,23.12828302
1810000,17.59868503,23.47547603
1820000,18.24621797,23.48116207
1830000,18.360636,22.92369103
1850000,18.39267397,23.70357513
1860000,17.98481798,28.3456521
1870000,18.64453101,24.05021811
1880000,18.30331993,24.43673491
1890000,19.10353708,24.45835996
1900000,18.98963404,24.73068404
1910000,18.55745792,25.115906
1920000,19.39429998,25.16367197
1930000,19.24425387,24.96015906
1940000,21.16843581,26.10515189
1950000,19.29745293,25.13981891
1960000,18.8338201,25.00704002
